view,context,shared_components,raw_checkboxes,raw_tables,raw_buttons,raw_visible_inputs,raw_selects,raw_textareas,pill_candidates,fixed_column_candidates
emails/store-order-confirmation.blade.php,emails,0,0,0,0,0,0,0,0,0
emails/store-order-customer-update-digest.blade.php,emails,0,0,0,0,0,0,0,0,0
emails/store-order-customer-update-notice.blade.php,emails,0,0,0,0,0,0,0,0,0
emails/store-order-paid.blade.php,emails,0,0,1,0,0,0,0,0,0
emails/store-quote-request-admin-notification.blade.php,emails,0,0,1,0,0,0,0,0,0
emails/subscribe.blade.php,emails,0,0,0,0,0,0,0,0,0
emails/ticket-attendee-update.blade.php,emails,0,0,0,0,0,0,0,0,0
emails/ticket-cancelled-notice.blade.php,emails,0,0,0,0,0,0,0,0,0
emails/ticket-magic-link.blade.php,emails,0,0,0,0,0,0,0,0,0
emails/ticket-manual-refund-notice.blade.php,emails,0,0,0,0,0,0,0,0,0
emails/ticket-no-tickets.blade.php,emails,0,0,0,0,0,0,0,0,0
emails/ticket-order-confirmation.blade.php,emails,0,0,0,0,0,0,0,0,0
emails/upcoming-workshops.blade.php,emails,0,0,3,0,0,0,0,0,0
emails/user-delete.blade.php,emails,0,0,0,0,0,0,0,0,0
emails/weekly-workplan.blade.php,emails,0,0,0,0,0,0,0,0,0
emails/welcome.blade.php,emails,0,0,4,0,0,0,0,0,0
emails/workshop-interest-admin-notification.blade.php,emails,0,0,0,0,0,0,0,0,0
emails/workshop-ticket-broadcast.blade.php,emails,0,0,0,0,0,0,0,0,0
errors/401.blade.php,browser,0,0,0,0,0,0,0,0,0
errors/402.blade.php,browser,0,0,0,0,0,0,0,0,0
errors/403.blade.php,browser,1,0,0,0,0,0,0,0,0
errors/404.blade.php,browser,1,0,0,0,0,0,0,0,0
errors/419.blade.php,browser,0,0,0,0,0,0,0,0,0
errors/429.blade.php,browser,0,0,0,0,0,0,0,0,0
errors/500.blade.php,browser,0,0,0,0,0,0,0,0,0
errors/503.blade.php,browser,0,0,0,0,0,0,0,0,0
errors/layout.blade.php,browser,0,0,0,0,0,0,0,0,0
errors/minimal.blade.php,browser,0,0,0,0,0,0,0,0,0
home.blade.php,browser,19,0,0,0,0,0,0,1,0
invoice/portal.blade.php,browser,8,0,0,0,0,0,0,1,0
livewire/email-subscribe.blade.php,browser,3,0,0,0,0,0,0,2,0
media-download-started.blade.php,browser,4,0,0,0,0,0,0,0,0
media-password.blade.php,browser,3,0,0,0,0,0,0,0,0
pdf/bas.blade.php,pdf,0,0,3,0,0,0,0,0,0
pdf/invoice.blade.php,pdf,0,0,11,0,0,0,0,0,0
pdf/partials/footer.blade.php,pdf,0,0,2,0,0,0,0,0,0
pdf/partials/styling.blade.php,pdf,0,0,0,0,0,0,0,0,0
pdf/partials/workshop-pick-list-page.blade.php,pdf,0,0,3,0,0,0,0,0,0
pdf/payment-receipt.blade.php,pdf,0,0,5,0,0,0,0,0,0
pdf/quote.blade.php,pdf,0,0,5,0,0,0,0,0,0
pdf/store-order-pick-list.blade.php,pdf,0,0,4,0,0,0,0,0,0
pdf/tax-adjustment.blade.php,pdf,0,0,5,0,0,0,0,0,0
pdf/ticket.blade.php,pdf,0,0,4,0,0,0,0,0,0
pdf/weekly-workplan.blade.php,pdf,0,0,4,0,0,0,0,0,0
pdf/workshop-attendance-sheet.blade.php,pdf,0,0,1,0,0,0,0,0,0
pdf/workshop-coverage.blade.php,pdf,0,0,1,0,0,0,0,0,0
pdf/workshop-history.blade.php,pdf,0,0,1,0,0,0,0,0,0
